kind	class	method	param	index	uri	field
METHOD	org.springframework.jdbc.datasource.init.ResourceDatabasePopulator	setScripts(org.springframework.core.io.Resource[])	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/init/ResourceDatabasePopulator.java	scripts
METHOD	org.springframework.jdbc.datasource.init.ResourceDatabasePopulator	setSeparator(java.lang.String)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/init/ResourceDatabasePopulator.java	separator
METHOD	org.springframework.jdbc.datasource.init.ResourceDatabasePopulator	setCommentPrefix(java.lang.String)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/init/ResourceDatabasePopulator.java	commentPrefixes
METHOD	org.springframework.jdbc.datasource.init.ResourceDatabasePopulator	setCommentPrefixes(java.lang.String[])	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/init/ResourceDatabasePopulator.java	commentPrefixes
METHOD	org.springframework.jdbc.datasource.init.ResourceDatabasePopulator	setBlockCommentStartDelimiter(java.lang.String)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/init/ResourceDatabasePopulator.java	blockCommentStartDelimiter
METHOD	org.springframework.jdbc.datasource.init.ResourceDatabasePopulator	setBlockCommentEndDelimiter(java.lang.String)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/init/ResourceDatabasePopulator.java	blockCommentEndDelimiter
METHOD	org.springframework.jdbc.datasource.lookup.AbstractRoutingDataSource	setDataSourceLookup(org.springframework.jdbc.datasource.lookup.DataSourceLookup)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/lookup/AbstractRoutingDataSource.java	dataSourceLookup
METHOD	org.springframework.jdbc.datasource.embedded.EmbeddedDatabaseFactory	setDatabaseName(java.lang.String)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/embedded/EmbeddedDatabaseFactory.java	databaseName
METHOD	org.springframework.jdbc.datasource.embedded.EmbeddedDatabaseFactory	setDataSourceFactory(org.springframework.jdbc.datasource.embedded.DataSourceFactory)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/embedded/EmbeddedDatabaseFactory.java	dataSourceFactory
METHOD	org.springframework.jdbc.core.metadata.CallMetaDataContext	setLimitedInParameterNames(java.util.Set)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/metadata/CallMetaDataContext.java	limitedInParameterNames
METHOD	org.springframework.jdbc.core.metadata.CallMetaDataContext	setOutParameterNames(java.util.List)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/metadata/CallMetaDataContext.java	outParameterNames
METHOD	org.springframework.jdbc.core.metadata.CallMetaDataContext	processParameters(java.util.List)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/metadata/CallMetaDataContext.java	callParameters
METHOD	org.springframework.jdbc.core.simple.AbstractJdbcInsert	setGeneratedKeyName(java.lang.String)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/simple/AbstractJdbcInsert.java	generatedKeyNames
METHOD	org.springframework.jdbc.core.simple.AbstractJdbcInsert	setGeneratedKeyNames(java.lang.String[])	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/simple/AbstractJdbcInsert.java	generatedKeyNames
METHOD	org.springframework.jdbc.core.simple.AbstractJdbcInsert	compileInternal()	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/simple/AbstractJdbcInsert.java	insertString
METHOD	org.springframework.jdbc.core.simple.AbstractJdbcInsert	compileInternal()	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/simple/AbstractJdbcInsert.java	insertTypes
METHOD	org.springframework.jdbc.core.metadata.TableMetaDataContext	processMetaData(javax.sql.DataSource,java.util.List,java.lang.String[])	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/metadata/TableMetaDataContext.java	tableColumns
METHOD	org.springframework.jdbc.core.simple.DefaultJdbcClient$DefaultStatementSpec	paramSource(java.lang.Object)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/simple/DefaultJdbcClient.java	namedParamSource
METHOD	org.springframework.jdbc.core.simple.DefaultJdbcClient$DefaultStatementSpec	paramSource(org.springframework.jdbc.core.namedparam.SqlParameterSource)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/simple/DefaultJdbcClient.java	namedParamSource
METHOD	org.springframework.jdbc.core.namedparam.NamedParameterJdbcTemplate	setCacheLimit(int)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/namedparam/NamedParameterJdbcTemplate.java	parsedSqlCache
METHOD	org.springframework.jdbc.config.SortedResourcesFactoryBean	setResourceLoader(org.springframework.core.io.ResourceLoader)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/config/SortedResourcesFactoryBean.java	resourcePatternResolver
METHOD	org.springframework.jdbc.object.RdbmsOperation	setJdbcTemplate(org.springframework.jdbc.core.JdbcTemplate)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/object/RdbmsOperation.java	jdbcTemplate
METHOD	org.springframework.jdbc.support.SQLErrorCodes	setBadSqlGrammarCodes(java.lang.String[])	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/support/SQLErrorCodes.java	badSqlGrammarCodes
METHOD	org.springframework.jdbc.support.SQLErrorCodes	setInvalidResultSetAccessCodes(java.lang.String[])	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/support/SQLErrorCodes.java	invalidResultSetAccessCodes
METHOD	org.springframework.jdbc.support.SQLErrorCodes	setDuplicateKeyCodes(java.lang.String[])	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/support/SQLErrorCodes.java	duplicateKeyCodes
METHOD	org.springframework.jdbc.support.SQLErrorCodes	setDataIntegrityViolationCodes(java.lang.String[])	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/support/SQLErrorCodes.java	dataIntegrityViolationCodes
METHOD	org.springframework.jdbc.support.SQLErrorCodes	setPermissionDeniedCodes(java.lang.String[])	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/support/SQLErrorCodes.java	permissionDeniedCodes
METHOD	org.springframework.jdbc.support.SQLErrorCodes	setDataAccessResourceFailureCodes(java.lang.String[])	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/support/SQLErrorCodes.java	dataAccessResourceFailureCodes
METHOD	org.springframework.jdbc.support.SQLErrorCodes	setTransientDataAccessResourceCodes(java.lang.String[])	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/support/SQLErrorCodes.java	transientDataAccessResourceCodes
METHOD	org.springframework.jdbc.support.SQLErrorCodes	setCannotAcquireLockCodes(java.lang.String[])	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/support/SQLErrorCodes.java	cannotAcquireLockCodes
METHOD	org.springframework.jdbc.support.SQLErrorCodes	setDeadlockLoserCodes(java.lang.String[])	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/support/SQLErrorCodes.java	deadlockLoserCodes
METHOD	org.springframework.jdbc.support.SQLErrorCodes	setCannotSerializeTransactionCodes(java.lang.String[])	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/support/SQLErrorCodes.java	cannotSerializeTransactionCodes
METHOD	org.springframework.jdbc.support.CustomSQLErrorCodesTranslation	setErrorCodes(java.lang.String[])	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/support/CustomSQLErrorCodesTranslation.java	errorCodes
METHOD	org.springframework.jdbc.support.incrementer.AbstractIdentityColumnMaxValueIncrementer	getNextKey()	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/support/incrementer/AbstractIdentityColumnMaxValueIncrementer.java	valueCache
