REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
org.springframework.asm.CurrentFrame	CurrentFrame(org.springframework.asm.Label)	Frame(org.springframework.asm.Label)	org.springframework.asm.Frame	SOURCE
org.springframework.asm.CurrentFrame	execute(int,int,org.springframework.asm.Symbol,org.springframework.asm.SymbolTable)	execute(int,int,org.springframework.asm.Symbol,org.springframework.asm.SymbolTable)	org.springframework.asm.Frame	SOURCE
org.springframework.asm.CurrentFrame	execute(int,int,org.springframework.asm.Symbol,org.springframework.asm.SymbolTable)	Frame(org.springframework.asm.Label)	org.springframework.asm.Frame	SOURCE
org.springframework.asm.CurrentFrame	execute(int,int,org.springframework.asm.Symbol,org.springframework.asm.SymbolTable)	merge(org.springframework.asm.SymbolTable,org.springframework.asm.Frame,int)	org.springframework.asm.Frame	SOURCE
org.springframework.asm.CurrentFrame	execute(int,int,org.springframework.asm.Symbol,org.springframework.asm.SymbolTable)	copyFrom(org.springframework.asm.Frame)	org.springframework.asm.Frame	SOURCE
org.springframework.asm.Frame	Frame(org.springframework.asm.Label)	Object()	java.lang.Object	SOURCE
org.springframework.asm.Frame	getAbstractTypeFromApiFormat(org.springframework.asm.SymbolTable,java.lang.Object)	intValue()	java.lang.Integer	SOURCE
org.springframework.asm.Frame	getAbstractTypeFromApiFormat(org.springframework.asm.SymbolTable,java.lang.Object)	getDescriptor()	org.springframework.asm.Type	SOURCE
org.springframework.asm.Frame	getAbstractTypeFromApiFormat(org.springframework.asm.SymbolTable,java.lang.Object)	getObjectType(java.lang.String)	org.springframework.asm.Type	SOURCE
org.springframework.asm.Frame	getAbstractTypeFromApiFormat(org.springframework.asm.SymbolTable,java.lang.Object)	getAbstractTypeFromDescriptor(org.springframework.asm.SymbolTable,java.lang.String,int)	org.springframework.asm.Frame	SOURCE
org.springframework.asm.Frame	getAbstractTypeFromApiFormat(org.springframework.asm.SymbolTable,java.lang.Object)	addUninitializedType(java.lang.String,int)	org.springframework.asm.SymbolTable	SOURCE
org.springframework.asm.Frame	getAbstractTypeFromApiFormat(org.springframework.asm.SymbolTable,java.lang.Object)	addForwardUninitializedType(java.lang.String,org.springframework.asm.Label)	org.springframework.asm.SymbolTable	SOURCE
org.springframework.asm.Frame	getAbstractTypeFromInternalName(org.springframework.asm.SymbolTable,java.lang.String)	addType(java.lang.String)	org.springframework.asm.SymbolTable	SOURCE
org.springframework.asm.Frame	getAbstractTypeFromDescriptor(org.springframework.asm.SymbolTable,java.lang.String,int)	charAt(int)	java.lang.String	SOURCE
