REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
org.springframework.aop.ClassFilter	TRUE	INSTANCE	org.springframework.aop.TrueClassFilter	SOURCE
org.springframework.aop.ClassFilter	TRUE	INSTANCE	org.springframework.aop.TrueClassFilter	SOURCE
org.springframework.aop.MethodMatcher	TRUE	INSTANCE	org.springframework.aop.TrueMethodMatcher	SOURCE
org.springframework.aop.MethodMatcher	TRUE	INSTANCE	org.springframework.aop.TrueMethodMatcher	SOURCE
org.springframework.aop.framework.JdkDynamicAopProxy	class	class	org.springframework.aop.framework.JdkDynamicAopProxy	SOURCE
org.springframework.aop.framework.JdkDynamicAopProxy	class	class	org.springframework.aop.framework.JdkDynamicAopProxy	SOURCE
org.springframework.aop.framework.JdkDynamicAopProxy	JdkDynamicAopProxy(org.springframework.aop.framework.AdvisedSupport)	advised	org.springframework.aop.framework.JdkDynamicAopProxy	SOURCE
org.springframework.aop.framework.JdkDynamicAopProxy	JdkDynamicAopProxy(org.springframework.aop.framework.AdvisedSupport)	this	org.springframework.aop.framework.JdkDynamicAopProxy	SOURCE
org.springframework.aop.framework.JdkDynamicAopProxy	JdkDynamicAopProxy(org.springframework.aop.framework.AdvisedSupport)	proxyMetadataCache	org.springframework.aop.framework.AdvisedSupport	SOURCE
org.springframework.aop.framework.JdkDynamicAopProxy	JdkDynamicAopProxy(org.springframework.aop.framework.AdvisedSupport)	proxyMetadataCache	org.springframework.aop.framework.AdvisedSupport	SOURCE
org.springframework.aop.framework.JdkDynamicAopProxy	JdkDynamicAopProxy(org.springframework.aop.framework.AdvisedSupport)	cache	org.springframework.aop.framework.JdkDynamicAopProxy	SOURCE
org.springframework.aop.framework.JdkDynamicAopProxy	JdkDynamicAopProxy(org.springframework.aop.framework.AdvisedSupport)	this	org.springframework.aop.framework.JdkDynamicAopProxy	SOURCE
org.springframework.aop.framework.JdkDynamicAopProxy	getProxy(java.lang.ClassLoader)	logger	org.springframework.aop.framework.JdkDynamicAopProxy	SOURCE
org.springframework.aop.framework.JdkDynamicAopProxy	getProxy(java.lang.ClassLoader)	logger	org.springframework.aop.framework.JdkDynamicAopProxy	SOURCE
org.springframework.aop.framework.JdkDynamicAopProxy	getProxy(java.lang.ClassLoader)	advised	org.springframework.aop.framework.JdkDynamicAopProxy	SOURCE
