REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
org.springframework.orm.ObjectRetrievalFailureException	ObjectRetrievalFailureException(java.lang.String,java.lang.Throwable)	persistentClass	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	ObjectRetrievalFailureException(java.lang.String,java.lang.Throwable)	this	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	ObjectRetrievalFailureException(java.lang.String,java.lang.Throwable)	identifier	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	ObjectRetrievalFailureException(java.lang.String,java.lang.Throwable)	this	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	ObjectRetrievalFailureException(java.lang.Class,java.lang.Object,java.lang.String,java.lang.Throwable)	persistentClass	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	ObjectRetrievalFailureException(java.lang.Class,java.lang.Object,java.lang.String,java.lang.Throwable)	this	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	ObjectRetrievalFailureException(java.lang.Class,java.lang.Object,java.lang.String,java.lang.Throwable)	identifier	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	ObjectRetrievalFailureException(java.lang.Class,java.lang.Object,java.lang.String,java.lang.Throwable)	this	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	ObjectRetrievalFailureException(java.lang.String,java.lang.Object,java.lang.String,java.lang.Throwable)	persistentClass	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	ObjectRetrievalFailureException(java.lang.String,java.lang.Object,java.lang.String,java.lang.Throwable)	this	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	ObjectRetrievalFailureException(java.lang.String,java.lang.Object,java.lang.String,java.lang.Throwable)	identifier	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	ObjectRetrievalFailureException(java.lang.String,java.lang.Object,java.lang.String,java.lang.Throwable)	this	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	getPersistentClass()	persistentClass	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	getPersistentClass()	this	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	getPersistentClassName()	persistentClass	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	getPersistentClassName()	this	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	getPersistentClassName()	persistentClass	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	getPersistentClassName()	this	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	getPersistentClassName()	persistentClass	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
org.springframework.orm.ObjectRetrievalFailureException	getPersistentClassName()	this	org.springframework.orm.ObjectRetrievalFailureException	SOURCE
