kind	class	method	param	index	uri	field
METHOD	org.springframework.orm.jpa.AbstractEntityManagerFactoryBean	setBeanClassLoader(java.lang.ClassLoader)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/AbstractEntityManagerFactoryBean.java	beanClassLoader
METHOD	org.springframework.orm.jpa.persistenceunit.DefaultPersistenceUnitManager	setPersistenceXmlLocation(java.lang.String)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/persistenceunit/DefaultPersistenceUnitManager.java	persistenceXmlLocations
METHOD	org.springframework.orm.jpa.persistenceunit.DefaultPersistenceUnitManager	setPersistenceXmlLocations(java.lang.String[])	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/persistenceunit/DefaultPersistenceUnitManager.java	persistenceXmlLocations
METHOD	org.springframework.orm.jpa.persistenceunit.DefaultPersistenceUnitManager	setDataSources(java.util.Map)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/persistenceunit/DefaultPersistenceUnitManager.java	dataSourceLookup
METHOD	org.springframework.orm.jpa.persistenceunit.DefaultPersistenceUnitManager	setDataSourceLookup(org.springframework.jdbc.datasource.lookup.DataSourceLookup)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/persistenceunit/DefaultPersistenceUnitManager.java	dataSourceLookup
METHOD	org.springframework.orm.jpa.persistenceunit.DefaultPersistenceUnitManager	setResourceLoader(org.springframework.core.io.ResourceLoader)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/persistenceunit/DefaultPersistenceUnitManager.java	resourcePatternResolver
METHOD	org.springframework.orm.jpa.persistenceunit.MutablePersistenceUnitInfo	setSharedCacheMode(jakarta.persistence.SharedCacheMode)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/persistenceunit/MutablePersistenceUnitInfo.java	sharedCacheMode
METHOD	org.springframework.orm.jpa.persistenceunit.MutablePersistenceUnitInfo	setValidationMode(jakarta.persistence.ValidationMode)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/persistenceunit/MutablePersistenceUnitInfo.java	validationMode
METHOD	org.springframework.orm.jpa.persistenceunit.MutablePersistenceUnitInfo	setProperties(java.util.Properties)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/persistenceunit/MutablePersistenceUnitInfo.java	properties
METHOD	org.springframework.orm.jpa.persistenceunit.MutablePersistenceUnitInfo	setPersistenceXMLSchemaVersion(java.lang.String)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/persistenceunit/MutablePersistenceUnitInfo.java	persistenceXMLSchemaVersion
METHOD	org.springframework.orm.jpa.support.PersistenceAnnotationBeanPostProcessor	setDefaultPersistenceUnitName(java.lang.String)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/support/PersistenceAnnotationBeanPostProcessor.java	defaultPersistenceUnitName
METHOD	org.springframework.orm.jpa.JpaTransactionManager	setJpaDialect(org.springframework.orm.jpa.JpaDialect)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/JpaTransactionManager.java	jpaDialect
METHOD	org.springframework.orm.jpa.vendor.AbstractJpaVendorAdapter	setDatabase(org.springframework.orm.jpa.vendor.Database)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/vendor/AbstractJpaVendorAdapter.java	database
METHOD	org.springframework.orm.hibernate5.support.OpenSessionInViewFilter	setSessionFactoryBeanName(java.lang.String)	null	null	/Users/nima/Developer/null-repair-auto/projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/hibernate5/support/OpenSessionInViewFilter.java	sessionFactoryBeanName
