REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
org.springframework.oxm.XmlMappingException	XmlMappingException(java.lang.String)	NestedRuntimeException(java.lang.String)	org.springframework.core.NestedRuntimeException	SOURCE
org.springframework.oxm.XmlMappingException	XmlMappingException(java.lang.String,java.lang.Throwable)	NestedRuntimeException(java.lang.String,java.lang.Throwable)	org.springframework.core.NestedRuntimeException	SOURCE
org.springframework.oxm.ValidationFailureException	ValidationFailureException(java.lang.String)	XmlMappingException(java.lang.String)	org.springframework.oxm.XmlMappingException	SOURCE
org.springframework.oxm.ValidationFailureException	ValidationFailureException(java.lang.String,java.lang.Throwable)	XmlMappingException(java.lang.String,java.lang.Throwable)	org.springframework.oxm.XmlMappingException	SOURCE
org.springframework.oxm.config.Jaxb2MarshallerBeanDefinitionParser	doParse(org.w3c.dom.Element,org.springframework.beans.factory.xml.ParserContext,org.springframework.beans.factory.support.BeanDefinitionBuilder)	getAttribute(java.lang.String)	org.w3c.dom.Element	SOURCE
org.springframework.oxm.config.Jaxb2MarshallerBeanDefinitionParser	doParse(org.w3c.dom.Element,org.springframework.beans.factory.xml.ParserContext,org.springframework.beans.factory.support.BeanDefinitionBuilder)	hasText(java.lang.String)	org.springframework.util.StringUtils	SOURCE
org.springframework.oxm.config.Jaxb2MarshallerBeanDefinitionParser	doParse(org.w3c.dom.Element,org.springframework.beans.factory.xml.ParserContext,org.springframework.beans.factory.support.BeanDefinitionBuilder)	addPropertyValue(java.lang.String,java.lang.Object)	org.springframework.beans.factory.support.BeanDefinitionBuilder	SOURCE
org.springframework.oxm.config.Jaxb2MarshallerBeanDefinitionParser	doParse(org.w3c.dom.Element,org.springframework.beans.factory.xml.ParserContext,org.springframework.beans.factory.support.BeanDefinitionBuilder)	getChildElementsByTagName(org.w3c.dom.Element,java.lang.String)	org.springframework.util.xml.DomUtils	SOURCE
org.springframework.oxm.config.Jaxb2MarshallerBeanDefinitionParser	doParse(org.w3c.dom.Element,org.springframework.beans.factory.xml.ParserContext,org.springframework.beans.factory.support.BeanDefinitionBuilder)	isEmpty()	java.util.List	SOURCE
org.springframework.oxm.config.Jaxb2MarshallerBeanDefinitionParser	doParse(org.w3c.dom.Element,org.springframework.beans.factory.xml.ParserContext,org.springframework.beans.factory.support.BeanDefinitionBuilder)	ManagedList(int)	org.springframework.beans.factory.support.ManagedList	SOURCE
org.springframework.oxm.config.Jaxb2MarshallerBeanDefinitionParser	doParse(org.w3c.dom.Element,org.springframework.beans.factory.xml.ParserContext,org.springframework.beans.factory.support.BeanDefinitionBuilder)	size()	java.util.List	SOURCE
org.springframework.oxm.config.Jaxb2MarshallerBeanDefinitionParser	doParse(org.w3c.dom.Element,org.springframework.beans.factory.xml.ParserContext,org.springframework.beans.factory.support.BeanDefinitionBuilder)	getAttribute(java.lang.String)	org.w3c.dom.Element	SOURCE
org.springframework.oxm.config.Jaxb2MarshallerBeanDefinitionParser	doParse(org.w3c.dom.Element,org.springframework.beans.factory.xml.ParserContext,org.springframework.beans.factory.support.BeanDefinitionBuilder)	add(E)	java.util.ArrayList	SOURCE
org.springframework.oxm.config.Jaxb2MarshallerBeanDefinitionParser	doParse(org.w3c.dom.Element,org.springframework.beans.factory.xml.ParserContext,org.springframework.beans.factory.support.BeanDefinitionBuilder)	addPropertyValue(java.lang.String,java.lang.Object)	org.springframework.beans.factory.support.BeanDefinitionBuilder	SOURCE
org.springframework.oxm.config.OxmNamespaceHandler	init()	registerBeanDefinitionParser(java.lang.String,org.springframework.beans.factory.xml.BeanDefinitionParser)	org.springframework.beans.factory.xml.NamespaceHandlerSupport	SOURCE
org.springframework.oxm.config.OxmNamespaceHandler	init()	Jaxb2MarshallerBeanDefinitionParser()	org.springframework.oxm.config.Jaxb2MarshallerBeanDefinitionParser	SOURCE
org.springframework.oxm.MarshallingFailureException	MarshallingFailureException(java.lang.String)	MarshallingException(java.lang.String)	org.springframework.oxm.MarshallingException	SOURCE
org.springframework.oxm.MarshallingFailureException	MarshallingFailureException(java.lang.String,java.lang.Throwable)	MarshallingException(java.lang.String,java.lang.Throwable)	org.springframework.oxm.MarshallingException	SOURCE
org.springframework.oxm.MarshallingException	MarshallingException(java.lang.String)	XmlMappingException(java.lang.String)	org.springframework.oxm.XmlMappingException	SOURCE
org.springframework.oxm.MarshallingException	MarshallingException(java.lang.String,java.lang.Throwable)	XmlMappingException(java.lang.String,java.lang.Throwable)	org.springframework.oxm.XmlMappingException	SOURCE
org.springframework.oxm.UnmarshallingFailureException	UnmarshallingFailureException(java.lang.String)	MarshallingException(java.lang.String)	org.springframework.oxm.MarshallingException	SOURCE
org.springframework.oxm.UnmarshallingFailureException	UnmarshallingFailureException(java.lang.String,java.lang.Throwable)	MarshallingException(java.lang.String,java.lang.Throwable)	org.springframework.oxm.MarshallingException	SOURCE
org.springframework.oxm.jaxb.ClassPathJaxb2TypeScanner	JAXB2_TYPE_FILTERS	AnnotationTypeFilter(java.lang.Class,boolean)	org.springframework.core.type.filter.AnnotationTypeFilter	SOURCE
